ID_bien;Surface Carrez du 1er lot;Code type local;Type local;Nombre pieces principales;ID_commune
574;24.92;2;Appartement;2;574
575;16.54;2;Appartement;1;575
576;172.21;2;Appartement;5;576
577;36.11;2;Appartement;1;577
578;46.34;2;Appartement;3;578
579;17.05;2;Appartement;1;579
580;131.09;2;Appartement;4;580
581;53.84;2;Appartement;3;581
582;31.2;2;Appartement;2;582
583;106.78;1;Maison;3;583
584;86.82;2;Appartement;3;584
585;23.13;2;Appartement;1;585
586;78.01;2;Appartement;3;586
587;38.29;2;Appartement;2;587
588;45.51;2;Appartement;4;588
589;33.27;2;Appartement;2;589
590;81.04;2;Appartement;4;590
591;26.51;2;Appartement;1;591
592;73.71;2;Appartement;5;592
593;22.24;2;Appartement;1;593
594;44.01;2;Appartement;2;594
595;25.75;2;Appartement;2;595
596;66.41;2;Appartement;4;596
597;68.39;2;Appartement;3;597
598;154;2;Appartement;5;598
599;81.26;2;Appartement;3;599
600;54.03;2;Appartement;2;600
601;34.81;2;Appartement;2;601
602;48.02;2;Appartement;2;602
603;27.57;2;Appartement;2;603
604;44.15;2;Appartement;3;604
605;82.1;2;Appartement;3;605
606;34.65;2;Appartement;2;606
607;37.1;2;Appartement;2;607
608;53.08;2;Appartement;2;608
609;13.55;2;Appartement;1;609
610;60.77;2;Appartement;4;610
611;22.2;2;Appartement;1;611
612;95.59;2;Appartement;3;612
613;26.41;2;Appartement;2;613
614;60.32;2;Appartement;2;614
615;42.14;2;Appartement;2;615
616;88.1;2;Appartement;3;616
617;69.7;2;Appartement;3;617
618;104.48;2;Appartement;4;618
619;44.49;2;Appartement;1;619
620;26.55;2;Appartement;1;620
621;76.2;2;Appartement;4;621
622;26.67;2;Appartement;1;622
623;38.1;2;Appartement;2;623
624;265.26;2;Appartement;5;624
625;80.6;2;Appartement;3;625
626;22.08;2;Appartement;1;626
627;44.36;2;Appartement;2;627
628;56.1;2;Appartement;4;628
629;55.11;2;Appartement;3;629
630;49.73;2;Appartement;2;630
631;20.77;2;Appartement;5;631
