ID_Emplacement;Adresse;Code postal;Commune;Code departement
4100;2020 DE GOUEDIC;22000;SAINT-BRIEUC;22
4101;2860 DE LA LIBERTE;22000;SAINT-BRIEUC;22
4102;523 HENT KERVIG;22500;PAIMPOL;22
4103;2020 DE GOUEDIC;22000;SAINT-BRIEUC;22
4104;1820 FREDERIC LE GUYADER;22000;SAINT-BRIEUC;22
4105;3605 PIERRE SEMARD;22000;SAINT-BRIEUC;22
4106;273 DU GEN DE CASTELNAU;22410;SAINT-QUAY-PORTRIEUX;22
4107;1070 DU MINIHY;22370;PLENEUF-VAL-ANDRE;22
4108;4780 DE LA VILLE ERNAULT;22000;SAINT-BRIEUC;22
4109;1460 DU ROI D YS;22190;PLERIN;22
4110;429 DU PETIT CLOS;22360;LANGUEUX;22
4111;4070 SAINT BENOIT;22000;SAINT-BRIEUC;22
4112;1180 CORNEILLE;22000;SAINT-BRIEUC;22
4113;152 DU CHEMIN DE FER;22680;BINIC-ETABLES-SUR-MER;22
4114;3350 NOTRE DAME;22000;SAINT-BRIEUC;22
4115;2170 GUSTAVE EIFFEL;22000;SAINT-BRIEUC;22
4116;4690 VICAIRIE;22000;SAINT-BRIEUC;22
4117;2170 GUSTAVE EIFFEL;22000;SAINT-BRIEUC;22
4118;3705 DU PORT FAVIGO;22000;SAINT-BRIEUC;22
4119;990 CHATEAUBRIAND;22000;SAINT-BRIEUC;22
4120;306 JEAN RICHEPIN;22360;LANGUEUX;22
4121;283 DE GENIET;22410;SAINT-QUAY-PORTRIEUX;22
4122;139 DE LA REPUBLIQUE;22580;PLOUHA;22
4123;330 CLEMENCEAU;22370;PLENEUF-VAL-ANDRE;22
4124;211 DES DOLMENS;22410;SAINT-QUAY-PORTRIEUX;22
4125;530 DES HUIT PATRIOTES;22500;PAIMPOL;22
4126;1800 ETIENNE BAUDE;22370;PLENEUF-VAL-ANDRE;22
4127;4627 DU VAU LOUIS;22000;SAINT-BRIEUC;22
4128;2170 GUSTAVE EIFFEL;22000;SAINT-BRIEUC;22
4129;2310 HOCHE;22000;SAINT-BRIEUC;22
4130;432 DE LA PIECE PERROT;22360;LANGUEUX;22
4131;200 GENERAL DE GAULLE;22400;LAMBALLE-ARMOR;22
4132;521 DE LA CROIX SAMSON;22360;LANGUEUX;22
4133;200 GENERAL DE GAULLE;22400;LAMBALLE-ARMOR;22
4134;160 DES VERGERS;22120;HILLION;22
